uid,treatment,sessid,date,forumid,messageforumid,crop,topic,messagedate,duration,educ,village,age,weekno,year
1038001,2,1313747106,8/19/2011,Questions and Answers,3820,,,8/18/2011,47,9,TAJPAR,38,34,2011
1038001,2,1313747106,8/19/2011,Questions and Answers,3779,Cotton,Pests,8/18/2011,26,9,TAJPAR,38,34,2011
1038001,2,1313747106,8/19/2011,Questions and Answers,3784,Cotton,Fertilizers/Bio-organic,8/18/2011,80,9,TAJPAR,38,34,2011
1031025,1,1313764421,8/19/2011,Radio,2971,,,6/1/2011,100,0,PIPLIYA (DHORA),32,34,2011
1031025,1,1313764421,8/19/2011,Radio,2970,,,6/1/2011,84,0,PIPLIYA (DHORA),32,34,2011
1030019,1,1313856118,8/20/2011,Questions and Answers,3860,Cotton,Seeds,8/19/2011,9,8,PANCHAVADA,30,34,2011
1030019,1,1313856118,8/20/2011,Questions and Answers,3822,Other,Diseases,8/18/2011,50,8,PANCHAVADA,30,34,2011
1030019,1,1313856118,8/20/2011,Questions and Answers,3840,Other,Other,8/19/2011,10,8,PANCHAVADA,30,34,2011
1010033,1,1313911835,8/21/2011,Radio,2971,,,6/1/2011,1,7,HIRASAR,40,35,2011
1031006,2,1313916390,8/21/2011,Questions and Answers,3843,Cotton,Pests,8/19/2011,21,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313916390,8/21/2011,Questions and Answers,3860,Cotton,Seeds,8/19/2011,9,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313916390,8/21/2011,Questions and Answers,3779,Cotton,Pests,8/18/2011,26,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313916390,8/21/2011,Questions and Answers,3820,,,8/18/2011,47,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3843,Cotton,Pests,8/19/2011,21,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3860,Cotton,Seeds,8/19/2011,9,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3779,Cotton,Pests,8/18/2011,27,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3820,,,8/18/2011,47,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3820,,,8/18/2011,47,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3838,Other,Other,8/19/2011,51,7,PIPLIYA (DHORA),65,35,2011
1031006,2,1313917355,8/21/2011,Questions and Answers,3877,,,8/20/2011,28,7,PIPLIYA (DHORA),65,35,2011
1031025,1,1314109145,8/23/2011,Radio,2971,,,6/1/2011,63,0,PIPLIYA (DHORA),32,35,2011
1031025,1,1314109145,8/23/2011,Radio,2971,,,6/1/2011,63,0,PIPLIYA (DHORA),32,35,2011
1004006,2,1314155677,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,19,9,BHETSUDA,27,35,2011
1004006,2,1314155677,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,19,9,BHETSUDA,27,35,2011
1004006,2,1314155677,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,19,9,BHETSUDA,27,35,2011
1004006,2,1314155677,8/24/2011,Questions and Answers,3920,Groundnut,Diseases,8/23/2011,65,9,BHETSUDA,27,35,2011
1004006,2,1314155677,8/24/2011,Questions and Answers,3920,Groundnut,Diseases,8/23/2011,65,9,BHETSUDA,27,35,2011
1004006,2,1314155677,8/24/2011,Questions and Answers,3920,Groundnut,Diseases,8/23/2011,65,9,BHETSUDA,27,35,2011
1039002,1,1314161597,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,18,7,TRAMBODA,29,35,2011
1039002,1,1314161597,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,18,7,TRAMBODA,29,35,2011
1039002,1,1314161597,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,18,7,TRAMBODA,29,35,2011
1039002,1,1314161597,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,18,7,TRAMBODA,29,35,2011
1039002,1,1314161597,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,18,7,TRAMBODA,29,35,2011
1039002,1,1314161597,8/24/2011,Questions and Answers,3917,Cotton,Diseases,8/23/2011,18,7,TRAMBODA,29,35,2011
1019015,1,1314164583,8/24/2011,Radio,2971,,,6/1/2011,161,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2971,,,6/1/2011,161,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2971,,,6/1/2011,161,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2970,,,6/1/2011,15,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2970,,,6/1/2011,15,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2970,,,6/1/2011,15,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2966,,,6/1/2011,14,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2966,,,6/1/2011,14,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2966,,,6/1/2011,14,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2965,,,6/1/2011,10,8,LAKHCHOKIYA,51,35,2011
1019015,1,1314164583,8/24/2011,Radio,2965,,,6/1/2011,10,8,LAKHCHOKIYA,51,35,2011
