Date, Sessions, Duration, Crops
2011-12-12,5,57,Castor Other Wheat 
2011-11-28,116,30,Castor Onion Cumin Other Wheat Cotton 
2011-12-23,3,40,Sesame 
2011-10-24,283,55,Groundnut Chilli Castor Onion Cumin Other Wheat Cotton 
2011-11-05,192,50,Groundnut Chilli Wheat Onion Cumin Other Cotton 
2011-09-16,128,41,Chilli Wheat Cumin Other Brinjal Cotton 
2012-06-27,1,30,Cotton 
2011-10-07,213,49,Chilli Wheat Cumin Other Brinjal Cotton 
2011-08-28,521,30,Groundnut Chilli Wheat Other Brinjal Castor Cotton 
2012-03-05,5,44,Sesame Groundnut Other 
2011-09-09,319,35,Other Castor Brinjal Cumin Cotton 
2012-04-19,2,35,Other Cotton 
2012-08-29,4,29,Other Cotton 
2012-01-01,1,15,Cumin 
2011-12-04,24,63,Wheat Cumin Cotton 
2012-07-29,17,36,Castor Other Sorghum Onion Cotton 
2011-11-20,6,58,Brinjal Cumin 
2012-06-10,11,38,Other Cotton 
2011-10-16,433,46,Castor Other Garlic Cumin Cotton 
2012-05-17,5,39,Other Castor 
2011-09-24,435,47,Castor Other Wheat Brinjal Cotton 
2011-08-20,3,23,Other Cotton 
2012-03-13,7,9,Wheat Cumin Cotton 
2012-04-27,5,35,Groundnut Other Cotton 
2012-08-10,5,37,Cotton 
2012-01-09,2,51,Cumin 
2012-07-14,16,39,Other Brinjal Cotton 
2011-12-28,8,46,Sorghum Other Castor Cotton 
2012-07-21,14,30,Other Cotton 
2012-05-14,19,60,Castor Millet Other Brinjal Sorghum Cotton 
2011-11-12,30,47,Other Cotton 
2012-06-02,18,30,Other Cumin Cotton 
2011-10-08,275,45,Chilli Other Brinjal Cumin Cotton 
2012-05-25,8,64,Other Cotton 
2012-08-22,49,26,Chilli Other Wheat Cumin Cotton 
2012-08-16,11,36,Other 
2012-08-11,52,49,Chilli Other Castor Brinjal Cotton 
2012-02-26,16,34,Castor Groundnut Other Cumin 
2011-12-13,4,32,Other Castor 
2011-11-27,56,42,Chilli Other Brinjal Onion Cotton 
2011-10-25,246,33,Chilli Wheat Onion Cumin Other Cotton 
2011-11-04,161,37,Chilli Wheat Onion Cumin Other Garlic Cotton 
2011-09-19,144,46,Chilli Other Castor Brinjal Cotton 
2012-06-26,7,60,Chilli Other Castor Brinjal Cotton 
2011-08-29,496,32,Groundnut Chilli Wheat Onion Cumin Other Brinjal Castor Cotton 
2012-03-06,3,65,Other Cotton 
2011-09-08,320,32,Chilli Castor Cumin Other Brinjal Wheat Cotton 
2012-08-08,39,24,Groundnut Other Wheat Brinjal Cotton 
2012-04-18,11,67,Sorghum Other Castor Cotton 
2012-01-06,2,33,Other Millet 
2012-08-25,10,55,Chilli Cotton 
2011-12-05,98,51,Castor Other Wheat Cumin Cotton 
2012-07-30,6,30,Other Cotton 
2012-05-07,1,91,Cotton 
2011-11-19,131,43,Chilli Wheat Cumin Other Brinjal Cotton 
2012-06-09,18,54,Other Cotton 
2011-10-17,280,57,Other Cumin Cotton 
2012-05-30,51,46,Groundnut Other Paddy Cotton 
